PLAYER,WINDOW,POSITION,COUNTRY,TO,FROM,PRICE DESCRIPTION,PRICE,LEAGUE ,SEASON
Bartolomeu Quissanga,Pre-Season,Defender,AGO,Lazio,Rostov,Sold,6500000,Serie A,16/17
Bartolomeu Quissanga,Pre-Season,Defender,AGO,Lazio,Rostov,Sold,6500000,Serie A,16/17
Lorik Cana,Pre-Season,Midfielder,ALB,Galatasaray,Sunderland,Sold,6000000,ROE,10-Nov
Mariano Barbosa,Pre-Season,Goalkeeper,ARG,Sevilla,Las Palmas,Sold,150000,La Liga,14/15
Diego Perotti,Pre-Season,Midfielder,ARG,Genoa,Sevilla,Sold,350000,Serie A,14/15
Dario Cvitanich,Pre-Season,Attacker,ARG,Nice,Ajax,Sold,400000,ROE,Dec-13
Axel Werner,Pre-Season,Goalkeeper,ARG,Atletico Madrid,Atletico Rafaela,Sold,800000,La Liga,16/17
Pablo Perez,Mid-Season,Midfielder,ARG,Malaga,Newells,Sold,950000,La Liga,13/14
Daniel Diaz,Pre-Season,Defender,ARG,Atletico Madrid,Getafe,Sold,1000000,La Liga,Dec-13
Gastón Sangoy,Pre-Season,Attacker,ARG,Sporting Gijon,Apollon Limassol,Sold,1000000,La Liga,10-Nov
Lucas Orban,Pre-Season,Defender,ARG,Valencia,Bordeaux,Sold,2000000,La Liga,14/15
Javier Malagueño,Pre-Season,Defender,ARG,Malaga,Indios,Sold,2000000,La Liga,10-Nov
Oscar Trejo,Pre-Season,Attacker,ARG,Toulouse,Sporting Gijon,Sold,2100000,ROE,13/14
Mauro Zarate,Mid-Season,Attacker,ARG,Fiorentina,West Ham,Sold,2100000,Serie A,15/16
Gabriel Mercado,Pre-Season,Defender,ARG,Sevilla,River Plate,Sold,2200000,La Liga,16/17
Diego Buonanotte,Mid-Season,Midfielder,ARG,Granada,Malaga,Sold,2300000,La Liga,Dec-13
Ever Banega,Pre-Season,Midfielder,ARG,Sevilla,Valencia,Sold,2500000,La Liga,14/15
Sebastian Blanco,Pre-Season,Midfielder,ARG,West Bromwich,Metalist,Sold,2500000,EPL,14/15
Jose Basanta,Pre-Season,Defender,ARG,Fiorentina,Monterrey,Sold,2600000,Serie A,14/15
Ignacio David Fideleff,Pre-Season,Defender,ARG,Napoli,Newells Old Boys,Sold,2800000,Serie A,11-Dec
Lucas Castro,Pre-Season,Midfielder,ARG,Catania,Racing Club,Sold,2900000,Serie A,Dec-13
Hernan Barcos,Mid-Season,Attacker,ARG,Sporting CP,Tianjin Teda,Sold,3000000,ROE,15/16
